numbins,binmin,binmax
1,-2.5138013781265,-2.0943590644815
4,-2.0943590644815,-1.8749167508365
11,-1.8749167508365,-1.6554744371915
12,-1.6554744371915,-1.4360321235466
18,-1.4360321235466,-1.2165898099016
15,-1.2165898099016,-1.1571474962565
20,-1.15714749625658,-0.85720518261159
24,-0.85720518261159,-0.77770518261159
21,-0.77770518261159,-0.55826286896661
36,-0.55826286896661,-0.33882055532162
40,-0.33882055532162,-0.11937824167663
51,-0.11937824167663,0.10006407196835
59,0.10006407196835,0.21850638561334
40,0.21850638561334,0.31950638561334
42,0.31950638561334,0.53894869925832
36,0.53894869925832,0.75839101290331
40,0.75839101290331,0.9778333265483
36,0.9778333265483,1.1972756401933
23,1.1972756401933,1.4167179538383
18,1.4167179538383,1.6361602674833
9,1.6361602674833,1.8556025811282
12,1.8556025811282,2.0750448947732
0,2.0750448947732,2.2944872084182
4,2.2944872084182,2.412472786789

